File	chunk	chunk_Start	chunk_End	words_Chunk	words_per_second	syllable_count	syllables_per_second
eng057	1	0	25.46938775510204	87	3.4158653846153846	241	9.462339743589745
eng058	1	0	25.73061224489796	79	3.0702728426395938	232	9.016497461928934
eng080	1	0	22.49142857142857	79	3.51244918699187	234	10.403963414634147
eng085	1	0	19.04326530612245	79	4.148448216735254	233	12.235296639231823
eng108	1	0	22.30857142857143	82	3.675717213114754	236	10.57889344262295
eng110	1	0	26.853877551020407	81	3.016324173151751	233	8.676586819066149
eng113	1	0	23.90204081632653	78	3.2633196721311477	230	9.622609289617486
eng115	1	0	21.080816326530613	81	3.84235594795539	233	11.052702912019827
eng129	1	0	18.964897959183673	77	4.060132575757576	229	12.074939738292011
eng134	1	0	25.965714285714284	79	3.042473591549296	232	8.934859154929578
eng141	1	0	18.991020408163266	80	4.21251719394773	232	12.216299862448418
