Count,Deleted_Word,Filename
1,that,p-rea1-m1_hyp.trn.dtl
1,yelled,p-rea1-m1_hyp.trn.dtl
1,hat,p-rea1-m2_hyp.trn.dtl
1,her,p-rea1-m2_hyp.trn.dtl
1,poor,p-rea1-m2_hyp.trn.dtl
1,to,p-rea1-m2_hyp.trn.dtl
1,yelled,p-rea1-m2_hyp.trn.dtl
2,lily,p-rea1-m3_hyp.trn.dtl
1,buying,p-rea1-m3_hyp.trn.dtl
1,everyone,p-rea1-m3_hyp.trn.dtl
1,he,p-rea1-m3_hyp.trn.dtl
1,she,p-rea1-m3_hyp.trn.dtl
1,shouting,p-rea1-m3_hyp.trn.dtl
1,the,p-rea1-m3_hyp.trn.dtl
1,their,p-rea1-m3_hyp.trn.dtl
1,they,p-rea1-m3_hyp.trn.dtl
1,yelled,p-rea1-m3_hyp.trn.dtl
1,old,p-rea1-m4_hyp.trn.dtl
1,poor,p-rea1-m4_hyp.trn.dtl
1,rosa,p-rea1-m4_hyp.trn.dtl
1,a,p-rea1-m6_hyp.trn.dtl
1,hand,p-rea1-m6_hyp.trn.dtl
1,once,p-rea1-m6_hyp.trn.dtl
1,only,p-rea1-m6_hyp.trn.dtl
