Count,Inserted_Word,Filename
1,singers,liv-rea1-f7_hyp.trn.dtl
1,step,liv-rea1-f7_hyp.trn.dtl
1,they,liv-rea1-f7_hyp.trn.dtl
1,to,liv-rea1-f7_hyp.trn.dtl
2,send,liv-rea1-m1_hyp.trn.dtl
1,hey,liv-rea1-m1_hyp.trn.dtl
1,him,liv-rea1-m1_hyp.trn.dtl
1,left,liv-rea1-m1_hyp.trn.dtl
1,that,liv-rea1-m1_hyp.trn.dtl
1,the,liv-rea1-m1_hyp.trn.dtl
1,them,liv-rea1-m1_hyp.trn.dtl
1,to,liv-rea1-m1_hyp.trn.dtl
1,us,liv-rea1-m1_hyp.trn.dtl
1,with,liv-rea1-m1_hyp.trn.dtl
1,a,liv-rea1-m2_hyp.trn.dtl
1,and,liv-rea1-m2_hyp.trn.dtl
1,be,liv-rea1-m2_hyp.trn.dtl
1,had,liv-rea1-m2_hyp.trn.dtl
1,heart,liv-rea1-m2_hyp.trn.dtl
1,messenger,liv-rea1-m2_hyp.trn.dtl
1,mhm,liv-rea1-m2_hyp.trn.dtl
1,royal,liv-rea1-m2_hyp.trn.dtl
1,she,liv-rea1-m2_hyp.trn.dtl
1,step,liv-rea1-m2_hyp.trn.dtl
1,to,liv-rea1-m2_hyp.trn.dtl
1,of,liv-rea1-m3_hyp.trn.dtl
1,step,liv-rea1-m3_hyp.trn.dtl
1,them,liv-rea1-m3_hyp.trn.dtl
1,step,liv-rea1-m4_hyp.trn.dtl
1,sam,n-rea1-f1_hyp.trn.dtl
1,with,n-rea1-f2_hyp.trn.dtl
1,hair,n-rea1-f4_hyp.trn.dtl
1,it,n-rea1-f4_hyp.trn.dtl
1,of,n-rea1-f4_hyp.trn.dtl
1,old,n-rea1-f4_hyp.trn.dtl
1,out,n-rea1-f5_hyp.trn.dtl
1,hezb,n-rea1-f6_hyp.trn.dtl
1,sun,n-rea1-f6_hyp.trn.dtl
1,the,n-rea1-f6_hyp.trn.dtl
1,all,n-rea1-m1_hyp.trn.dtl
1,rose,n-rea1-m1_hyp.trn.dtl
1,step,n-rea1-m1_hyp.trn.dtl
1,hair,n-rea1-m2_hyp.trn.dtl
1,him,n-rea1-m2_hyp.trn.dtl
1,of,n-rea1-m2_hyp.trn.dtl
1,put,n-rea1-m2_hyp.trn.dtl
1,rose,n-rea1-m2_hyp.trn.dtl
1,send,n-rea1-m2_hyp.trn.dtl
1,with,n-rea1-m2_hyp.trn.dtl
1,cindy's,n-rea1-m3_hyp.trn.dtl
1,plus,n-rea1-m3_hyp.trn.dtl
1,rose,n-rea1-m3_hyp.trn.dtl
1,hair,n-rea1-m4_hyp.trn.dtl
1,plus,n-rea1-m4_hyp.trn.dtl
1,step,n-rea1-m4_hyp.trn.dtl
1,they,n-rea1-m4_hyp.trn.dtl
1,hair,n-rea1-m5_hyp.trn.dtl
1,happens,n-rea1-m5_hyp.trn.dtl
1,they,n-rea1-m5_hyp.trn.dtl
1,all,n-rea1-m6_hyp.trn.dtl
1,course,n-rea1-m6_hyp.trn.dtl
1,her,n-rea1-m6_hyp.trn.dtl
1,i,n-rea1-m6_hyp.trn.dtl
1,in,n-rea1-m6_hyp.trn.dtl
1,not,n-rea1-m6_hyp.trn.dtl
1,of,n-rea1-m6_hyp.trn.dtl
1,step,n-rea1-m6_hyp.trn.dtl
1,step,p-rea1-f1_hyp.trn.dtl
1,hair,p-rea1-f2_hyp.trn.dtl
1,one,p-rea1-f2_hyp.trn.dtl
1,roads,p-rea1-f2_hyp.trn.dtl
1,send,p-rea1-f2_hyp.trn.dtl
1,as,p-rea1-f3_hyp.trn.dtl
1,hair,p-rea1-f3_hyp.trn.dtl
1,scene,p-rea1-f3_hyp.trn.dtl
1,step,p-rea1-f3_hyp.trn.dtl
1,mhm,p-rea1-f4_hyp.trn.dtl
1,own,p-rea1-f4_hyp.trn.dtl
1,step,p-rea1-f4_hyp.trn.dtl
1,how,p-rea1-f5_hyp.trn.dtl
1,step,p-rea1-f5_hyp.trn.dtl
1,and,p-rea1-f6_hyp.trn.dtl
1,heart,p-rea1-f6_hyp.trn.dtl
1,help,p-rea1-f6_hyp.trn.dtl
1,step,p-rea1-f6_hyp.trn.dtl
1,with,p-rea1-f6_hyp.trn.dtl
2,step,p-rea1-f7_hyp.trn.dtl
1,heart,p-rea1-m1_hyp.trn.dtl
1,lived,p-rea1-m1_hyp.trn.dtl
1,rose,p-rea1-m1_hyp.trn.dtl
1,sanders,p-rea1-m1_hyp.trn.dtl
1,step,p-rea1-m1_hyp.trn.dtl
1,us,p-rea1-m1_hyp.trn.dtl
1,brushes,p-rea1-m2_hyp.trn.dtl
1,her,p-rea1-m2_hyp.trn.dtl
1,step,p-rea1-m2_hyp.trn.dtl
1,us,p-rea1-m2_hyp.trn.dtl
1,ha,p-rea1-m3_hyp.trn.dtl
1,have,p-rea1-m3_hyp.trn.dtl
1,step,p-rea1-m3_hyp.trn.dtl
1,there,p-rea1-m3_hyp.trn.dtl
1,would,p-rea1-m3_hyp.trn.dtl
1,a,p-rea1-m4_hyp.trn.dtl
1,do,p-rea1-m4_hyp.trn.dtl
1,hair,p-rea1-m4_hyp.trn.dtl
1,heart,p-rea1-m4_hyp.trn.dtl
1,old,p-rea1-m4_hyp.trn.dtl
1,rose,p-rea1-m4_hyp.trn.dtl
1,step,p-rea1-m4_hyp.trn.dtl
1,they,p-rea1-m4_hyp.trn.dtl
1,you,p-rea1-m4_hyp.trn.dtl
1,and,p-rea1-m6_hyp.trn.dtl
1,brushes,p-rea1-m6_hyp.trn.dtl
1,heart,p-rea1-m6_hyp.trn.dtl
1,her,p-rea1-m6_hyp.trn.dtl
1,rose,p-rea1-m6_hyp.trn.dtl
1,step,p-rea1-m6_hyp.trn.dtl
1,the,p-rea1-m6_hyp.trn.dtl
1,they,p-rea1-m6_hyp.trn.dtl
